3.64E-01	3.88E-09
4.94E-01	1.92E-10
1.01E+00	1.37E-10
1.50E+00	1.16E-10
2.00E+00	1.01E-10
3.00E+00	8.56E-11
4.00E+00	7.57E-11
5.00E+00	6.86E-11
6.00E+00	6.29E-11
6.99E+00	5.87E-11
8.00E+00	5.53E-11
9.01E+00	5.24E-11
1.00E+01	4.98E-11
1.20E+01	4.58E-11
1.40E+01	4.11E-11
1.60E+01	3.83E-11
1.80E+01	3.61E-11
2.00E+01	3.42E-11
2.50E+01	3.06E-11
3.00E+01	2.80E-11
3.50E+01	2.60E-11
4.00E+01	2.43E-11
4.50E+01	2.29E-11
5.00E+01	2.18E-11
5.50E+01	2.08E-11
6.00E+01	1.99E-11
6.50E+01	1.91E-11
7.00E+01	1.84E-11
7.50E+01	1.78E-11
8.00E+01	1.72E-11
8.50E+01	1.67E-11
9.00E+01	1.62E-11
9.50E+01	1.58E-11
1.00E+02	1.54E-11
1.10E+02	1.47E-11
1.20E+02	1.41E-11
1.30E+02	1.36E-11
1.40E+02	1.30E-11
1.50E+02	1.26E-11
1.60E+02	1.22E-11
1.70E+02	1.19E-11
1.80E+02	1.15E-11
1.90E+02	1.12E-11
2.00E+02	1.09E-11
2.10E+02	1.07E-11
2.20E+02	1.04E-11
2.30E+02	1.02E-11
2.40E+02	1.00E-11
2.50E+02	9.83E-12
2.60E+02	9.64E-12
2.70E+02	9.47E-12
2.80E+02	9.29E-12
2.90E+02	9.17E-12
3.00E+02	9.12E-12
3.10E+02	9.07E-12
3.20E+02	9.08E-12
3.30E+02	9.05E-12
3.40E+02	9.07E-12
3.50E+02	9.06E-12

