3.06E-01	1.48E-09
5.00E-01	1.75E-10
1.00E+00	1.33E-10
1.50E+00	1.13E-10
2.00E+00	9.92E-11
3.00E+00	8.40E-11
4.00E+00	7.44E-11
5.00E+00	6.75E-11
6.00E+00	6.20E-11
7.00E+00	5.79E-11
8.00E+00	5.45E-11
9.00E+00	5.17E-11
1.00E+01	4.92E-11
1.20E+01	4.52E-11
1.40E+01	4.05E-11
1.60E+01	3.79E-11
1.80E+01	3.57E-11
2.00E+01	3.40E-11
2.50E+01	3.04E-11
3.00E+01	2.78E-11
3.50E+01	2.58E-11
4.00E+01	2.41E-11
4.50E+01	2.28E-11
5.00E+01	2.16E-11
5.50E+01	2.06E-11
6.00E+01	1.97E-11
6.50E+01	1.90E-11
7.00E+01	1.83E-11
7.50E+01	1.77E-11
8.00E+01	1.64E-11
8.50E+01	1.57E-11
9.00E+01	1.46E-11
9.50E+01	1.52E-11
1.00E+02	1.51E-11
1.10E+02	1.43E-11
1.20E+02	1.36E-11
1.30E+02	1.33E-11
1.40E+02	1.29E-11
1.50E+02	1.24E-11
1.60E+02	1.21E-11
1.70E+02	1.17E-11
1.80E+02	1.12E-11
1.90E+02	1.09E-11
2.00E+02	1.09E-11
2.10E+02	1.06E-11
2.20E+02	1.04E-11
2.30E+02	1.02E-11
2.40E+02	9.98E-12
2.50E+02	9.79E-12
2.60E+02	9.61E-12
2.70E+02	9.44E-12
2.80E+02	9.30E-12
2.90E+02	9.19E-12
3.00E+02	9.16E-12
3.10E+02	9.11E-12
3.20E+02	9.09E-12
3.30E+02	9.05E-12
3.40E+02	9.06E-12
3.50E+02	9.05E-12

