Fluence [p/cm^2]	Delta I [nA]	eFluence [p/cm^2]	eDelta I [nA]
7.44e+12	1051.74	5.208e+11	8.42325
9.66e+13	21379.6	6.762e+12	133.456
2.41e+13	4089.52	1.687e+12	74.1832
1.09e+12	143.483	7.63e+10	1.32002
9.66e+13	21605.1	6.762e+12	142.023
1.09e+12	146.202	7.63e+10	3.29487
2.41e+13	3733.32	1.687e+12	53.7423
7.44e+12	1032.65	5.208e+11	8.51536
