0	0.3113268444	0.05	0.1703972835
-5	-0.110501582	0.05	0.0737221883
-10	-0.15555744	0.05	0.0974361259
-15	-0.1269503309	0.05	0.0839394323
-20	-0.179117064	0.05	0.1027034506
-25	-0.1977926172	0.05	0.1063976656
-30	-0.2142190854	0.05	0.139513188
-35	-0.1680497636	0.05	0.1135469908
-40	-0.2059649437	0.05	0.0951239385
-45	-0.2322264101	0.05	0.0749640428
-50	-0.2475841849	0.05	0.0939879234
-55	-0.2583692182	0.05	0.1323652236
-60	-0.2990901081	0.05	0.0871933289
-65	-0.3195026991	0.05	0.1169937738
-70	-0.32054157	0.05	0.1133682581
-75	-0.3196881908	0.05	0.1045285238
-80	-0.3231247113	0.05	0.0995467368
-85	-0.3036995767	0.05	0.098168778
-90	-0.3566234204	0.05	0.1231582873
-95	-0.3873236581	0.05	0.1347512829
-100	-0.3716616264	0.05	0.0987126007
-105	-0.3682621185	0.05	0.1023865546
-110	-0.4358011281	0.05	0.1342139249
-115	-0.5067769259	0.05	0.0466135198
-120	-0.4533779495	0.05	0.1426430258
-125	-0.5378336559	0.05	0.1081396838
-130	-0.5556925873	0.05	0.0745713664
-135	-0.7120739463	0.05	0.0898836974
-140	-0.8521474258	0.05	0.1171880771
-145	-1.2840158781	0.05	0.1432478252
-150	-2.3797158211	0.05	0.1162507091
-155	-5.2610786913	0.05	0.1113020043
-160	-13.1234377181	0.05	0.137829616
-165	-33.7387917739	0.05	0.288476021
-170	-82.5877839526	0.05	0.7050163385
-175	-182.7171184029	0.05	1.5087099175
-180	-354.4697081368	0.05	2.8511606037
-185	-595.8760618541	0.05	4.7215465449
-190	-885.6524346158	0.05	6.9447493992
-195	-936.9220407165	0.05	7.2970789262
-200	-936.9215053357	0.05	7.2970747239
-205	-936.9222191768	0.05	7.2970802835
-210	-936.9213268754	0.05	7.297073334

