Fluence [p/cm^2]	Delta I [nA]	eFluence [p/cm^2]	eDelta I [nA]
7.44e+12	1399.29	5.208e+11	47.8956
9.66e+13	16807.2	6.762e+12	224.317
2.41e+13	4424.02	1.687e+12	42.103
1.09e+12	207.973	7.63e+10	7.20893
9.66e+13	16939	6.762e+12	150.577
1.09e+12	214.947	7.63e+10	6.22341
2.41e+13	4336.41	1.687e+12	132.027
7.44e+12	1389.14	5.208e+11	50.9243
