0	-0.1650962	0.05	0.89676765
-5	-0.0317222	0.05	1.6839225
-10	-0.095054	0.05	1.6343375
-15	-0.1463836	0.05	1.277332
-20	-0.238674688	0.05	1.6357695
-25	-0.03335366	0.05	1.13403185
-30	0.3055579138	0.05	0.9626072
-35	-0.76937182	0.05	0.7671988
-40	0.409392686	0.05	0.8814334
-45	-0.33055424	0.05	1.10220235
-50	-0.40014092	0.05	1.3391825
-55	-0.22802474	0.05	1.1127804
-60	-0.078312298	0.05	1.0461098
-65	0.28480112	0.05	1.5970355
-70	-0.5645786	0.05	1.1557795
-75	-0.12580066	0.05	1.364933
-80	0.24499964	0.05	1.2446595
-85	-0.405313856	0.05	1.00966035
-90	-0.2635912	0.05	1.559815
-95	-0.42407068	0.05	1.1205656
-100	0.455176484	0.05	1.1852727
-105	-0.3063474	0.05	1.5922375
-110	-0.42305646	0.05	1.521481
-115	0.120420298	0.05	1.08289535
-120	-0.201356198	0.05	1.4281015
-125	-0.39777886	0.05	1.286432
-130	-0.1911532	0.05	1.3203915
-135	-0.0643257	0.05	1.5369445
-140	-0.302091628	0.05	1.28857685
-145	-0.37213092	0.05	1.6139955
-150	-0.12148702	0.05	1.3137415
-155	0.1102175298	0.05	1.31023
-160	-0.4184611	0.05	1.0715162
-165	-0.71801806	0.05	1.20637175
-170	-0.8239279	0.05	1.1902041
-175	-2.6847864	0.05	1.0813955
-180	-8.9485378	0.05	0.943793500000001
-185	-27.495792	0.05	1.152405
-190	-69.230314	0.05	1.274415
-195	-140.30692	0.05	0.998100000000008
-200	-238.89366	0.05	1.00924999999998
-205	-355.77984	0.05	1.04225
-210	-473.0582	0.05	1.3793

